CaseID,Duration,horizon,other,casualties,Scenarios,Pol1,P1,Pol2,P2,Pol3,P3,Pol4,P4,Pol5,P5,Pol6,P6,Pol7,P7,P1_conf,P2_conf,P3_conf,P4_conf,P5_conf,P6_conf,P7_conf,t_screen,t_select,Pol_select,P1_support,P2_support,P3_support,P4_support,P5_support,P6_support,P7_support,choice_factor,FactSuccess_rate,FactCas_rate,FactOther_rate,SetA_2,SetA_3,SetB_2,SetB_3,Important,Costs,TimeFrames,TF_MC,FMC1,FMC2,reward,reward_b,T1,T10,Sex,Gender,Age,ethnic,race,party,Know,FP_Know,educ,Edu_cat,inc,Income,Scenarios_DO
1,256,0,0,0,t_AllSet|S1,Accept,1,Reject,0,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,6,3,3,6,2,6,4,40.72,96.204,3,6,,5,,,6,,,,,,1,0,1,1,5,6,In the short term (this month),0,An American embassy building,Iran,A reward of $3800 next month,1,200,800,Female,1,29,Black/African American,1,7,Well Informed,3,Some college,3,"$25,000 - $50,000",2,t_AllSet|S1
2,116,0,0,0,t_AllSet|S1,Reject,0,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Reject,0,5,4,4,6,3,5,5,22.239,2.712,5,,5,,,4,,,,,,,1,0,1,1,5,4,In the short term (this month),0,An American military base,Kenya,A reward of $3800 next month,1,500,15020,Male,0,23,White/Caucasian,4,5,Well Informed,3,Some college,3,"$50,001 - $75,000",3,t_AllSet|S1
3,257,0,0,0,t_AllSet|S1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,6,5,7,7,6,7,5,29.414,52.945,1,6,5,7,6,7,6,6,,,,,0,0,1,1,6,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,200,800,Male,0,22,Black/African American,1,7,Very Informed,4,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S1
4,414,0,0,0,t_AllSet|S1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,4,6,6,4,5,6,5,168.513,21.737,2,5,6,5,6,7,6,7,,,,,0,1,1,1,6,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,200,800,Male,0,48,Black/African American,1,6,Well Informed,3,Masters degree or higher,5,"$25,000 - $50,000",2,t_AllSet|S1
5,728,0,0,0,t_AllSet|S1,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,5,5,3,2,2,2,225.522,20.204,1,7,6,4,2,,,,,,,,1,0,0,1,5,6,In the short term (this month),0,An American embassy building,Afghanistan,A reward of $3400 this month,0,300,10000,Male,0,34,White/Caucasian,4,1,Well Informed,3,High school,2,"$50,001 - $75,000",3,t_AllSet|S1
6,757,0,0,0,t_AllSet|S1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Accept,1,5,5,5,5,5,5,7,162.971,36.44,7,,,,,,,7,,,,,1,1,0,1,7,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,500,10000,Female,1,66,White/Caucasian,4,4,Well Informed,3,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S1
7,2387,0,0,0,t_AllSet|S1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,4,5,4,5,4,5,4,2092.533,17.742,5,4,5,4,5,5,5,5,,,,,0,1,0,1,5,4,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,500,500,Male,0,25,White/Caucasian,4,2,Somewhat Informed,2,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S1
8,219,0,0,0,t_AllSet|S1,Accept,1,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,Accept,1,6,7,6,7,6,7,6,60.068,8.469,5,6,,7,,6,,7,,,,,0,1,0,1,6,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,200,800,Male,0,31,Black/African American,1,6,Well Informed,3,Masters degree or higher,5,"$50,001 - $75,000",3,t_AllSet|S1
9,198,0,0,0,t_AllSet|S1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,7,7,7,7,7,7,7,42.135,20.283,1,7,7,7,4,3,,,,,,,1,1,1,2,7,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,2000,10000,Female,1,35,White/Caucasian,4,7,Somewhat Informed,2,High school,2,"$25,000 - $50,000",2,t_AllSet|S1
10,349,0,0,0,t_AllSet|S1,Reject,0,Accept,1,Accept,1,Reject,0,Accept,1,Accept,1,Reject,0,2,6,5,1,5,6,2,188.443,17.5,6,,5,4,,2,7,,,,,,1,2,0,2,5,6,In the short term (this month),0,An American military base,Iran,A reward of $3400 this month,0,200,800,Male,0,30,White/Caucasian,4,7,Very Informed,4,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S1
